Date,Price,Open,High,Low,Volume,Change(%)
22 Apr 2021,152.59,153,153.68,150.9,6539885,-0.12%
20 Apr 2021,152.78,153.75,154.28,151.24,8138061,1.25%
19 Apr 2021,150.9,154.39,155.25,150,10352810,-4.12%
16 Apr 2021,157.39,155.63,161.1,155.44,12386729,0.99%
15 Apr 2021,155.85,155.93,158.55,155.29,5714635,-0.45%
13 Apr 2021,156.56,153.86,157.05,151.84,11154981,3.78%
12 Apr 2021,150.86,154.99,154.99,148.88,10431180,-3.44%
09 Apr 2021,156.23,157.05,158.59,156,6622326,-0.33%
08 Apr 2021,156.75,158.96,160.13,156.38,11513749,-0.73%
07 Apr 2021,157.91,158.18,162.15,157.16,12848471,0.64%
06 Apr 2021,156.9,161.4,164.25,156.38,14232228,-2.31%
05 Apr 2021,160.61,161.4,164.25,160.01,8147763,-2.08%
01 Apr 2021,164.03,162.49,164.51,161.06,6316508,1.42%
31 Mar 2021,161.74,164.93,165.83,160.99,11640412,-2.57%
30 Mar 2021,166.01,162.68,167.78,161.55,29997550,3.14%
26 Mar 2021,160.95,164.51,166.5,159.11,14166489,-0.83%
25 Mar 2021,162.3,165.79,167.55,161.51,11403073,-2.11%
24 Mar 2021,165.79,162.79,167.93,162.68,13724418,0.94%
23 Mar 2021,164.25,167.66,168,163.88,21631451,-2.03%
22 Mar 2021,167.66,175.8,175.8,166.65,16414250,-2.89%
19 Mar 2021,172.65,166.43,174.08,164.36,39563112,4.14%
18 Mar 2021,165.79,165.75,167.63,165.11,8005871,0.27%
17 Mar 2021,165.34,168.71,168.75,164.51,7071264,-1.78%
16 Mar 2021,168.34,168.86,170.4,167.63,8306833,0.14%
15 Mar 2021,168.11,165.75,169.88,164.81,16926895,1.86%
12 Mar 2021,165.04,161.78,165.68,161.55,10222359,2.28%
10 Mar 2021,161.36,163.5,164.21,160.5,5996907,-0.40%
09 Mar 2021,162,165.38,166.58,159.94,7079067,-1.88%
08 Mar 2021,165.11,163.39,167.93,162.75,8859067,-0.05%
05 Mar 2021,165.19,169.5,169.5,164.51,9755263,-2.17%
04 Mar 2021,168.86,167.29,172.46,167.29,12861986,-1.04%
03 Mar 2021,170.63,172.5,172.61,167.78,10884683,1.09%
02 Mar 2021,168.79,171.75,172.01,167.51,10250883,-0.97%
01 Mar 2021,170.44,163.13,171.6,163.05,17686096,6.04%
26 Feb 2021,160.73,166.13,170.44,158.4,21414774,-5.82%
25 Feb 2021,170.66,167.78,174.6,165.6,17266549,2.15%
24 Feb 2021,167.06,169.61,171.15,166.2,6424498,-1.49%
23 Feb 2021,169.58,169.31,171.83,168.49,10290130,0.52%
22 Feb 2021,168.71,174.34,175.43,167.7,14512980,-3.12%
19 Feb 2021,174.15,175.13,177.08,171.56,20438826,-1.82%
18 Feb 2021,177.38,173.25,178.73,171.38,24914207,2.81%
17 Feb 2021,172.54,169.13,173.4,166.65,21957171,2.00%
16 Feb 2021,169.16,160.05,172.43,159.98,45113050,6.16%
